PropName,BladeName,Family,B,D,P,P_D,J,N,CT,CP,eta,D_ft,A_sqft,N_rps,SLT_lbf,SLP_hp,DL_psf,Vtip_fps,Vtip_mach,CT_hov,CT_sig,CP_i,P_i,FM
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1650,4000,0.0993,0.05390,0.3040,0.7083,0.3941,66.67,2.0471,0.2997,5.1948,148.4,0.1349,0.0993,0.9954,0.0221,77.82,0.4721
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2140,4000,0.0947,0.05430,0.3740,0.7083,0.3941,66.67,1.9523,0.3019,4.9542,148.4,0.1349,0.0947,0.9493,0.0206,72.48,0.4364
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2550,4000,0.0916,0.05480,0.4270,0.7083,0.3941,66.67,1.8883,0.3047,4.7920,148.4,0.1349,0.0916,0.9182,0.0196,68.95,0.4114
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3010,4000,0.0847,0.05400,0.4730,0.7083,0.3941,66.67,1.7461,0.3003,4.4310,148.4,0.1349,0.0847,0.8490,0.0174,61.30,0.3712
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3400,4000,0.0796,0.05300,0.5110,0.7083,0.3941,66.67,1.6410,0.2947,4.1642,148.4,0.1349,0.0796,0.7979,0.0159,55.85,0.3446
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4000,4000,0.0718,0.05040,0.5700,0.7083,0.3941,66.67,1.4802,0.2803,3.7562,148.4,0.1349,0.0718,0.7197,0.0136,47.85,0.3104
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4380,4000,0.0659,0.04810,0.6020,0.7083,0.3941,66.67,1.3585,0.2675,3.4475,148.4,0.1349,0.0659,0.6606,0.0120,42.07,0.2860
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4830,4000,0.0583,0.04510,0.6250,0.7083,0.3941,66.67,1.2019,0.2508,3.0499,148.4,0.1349,0.0583,0.5844,0.0100,35.01,0.2538
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5310,4000,0.0497,0.04100,0.6440,0.7083,0.3941,66.67,1.0246,0.2280,2.6000,148.4,0.1349,0.0497,0.4982,0.0078,27.56,0.2198
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5670,4000,0.0430,0.03720,0.6550,0.7083,0.3941,66.67,0.8865,0.2069,2.2495,148.4,0.1349,0.0430,0.4310,0.0063,22.18,0.1949
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6150,4000,0.0336,0.03180,0.6480,0.7083,0.3941,66.67,0.6927,0.1768,1.7578,148.4,0.1349,0.0336,0.3368,0.0044,15.32,0.1575
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6640,4000,0.0252,0.02650,0.6320,0.7083,0.3941,66.67,0.5195,0.1474,1.3183,148.4,0.1349,0.0252,0.2526,0.0028,9.95,0.1228
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7050,4000,0.0172,0.02170,0.5610,0.7083,0.3941,66.67,0.3546,0.1207,0.8998,148.4,0.1349,0.0172,0.1724,0.0016,5.61,0.0845
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7530,4000,0.0091,0.01620,0.4240,0.7083,0.3941,66.67,0.1876,0.0901,0.4761,148.4,0.1349,0.0091,0.0912,0.0006,2.16,0.0436
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7900,4000,0.0025,0.01180,0.1650,0.7083,0.3941,66.67,0.0515,0.0656,0.1308,148.4,0.1349,0.0025,0.0251,0.0001,0.31,0.0086
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1340,5004,0.1035,0.05230,0.2640,0.7083,0.3941,83.40,3.3392,0.5694,8.4738,185.6,0.1687,0.1035,1.0375,0.0235,162.12,0.5177
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1690,5004,0.1016,0.05360,0.3210,0.7083,0.3941,83.40,3.2779,0.5835,8.3182,185.6,0.1687,0.1016,1.0184,0.0229,157.68,0.4913
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2050,5004,0.0984,0.05380,0.3750,0.7083,0.3941,83.40,3.1747,0.5857,8.0562,185.6,0.1687,0.0984,0.9863,0.0218,150.29,0.4665
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2390,5004,0.0953,0.05400,0.4220,0.7083,0.3941,83.40,3.0746,0.5879,7.8024,185.6,0.1687,0.0953,0.9553,0.0208,143.24,0.4430
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2780,5004,0.0909,0.05420,0.4660,0.7083,0.3941,83.40,2.9327,0.5901,7.4422,185.6,0.1687,0.0909,0.9112,0.0194,133.44,0.4112
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3110,5004,0.0872,0.05380,0.5030,0.7083,0.3941,83.40,2.8133,0.5857,7.1393,185.6,0.1687,0.0872,0.8741,0.0182,125.38,0.3892
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3460,5004,0.0823,0.05340,0.5340,0.7083,0.3941,83.40,2.6552,0.5813,6.7381,185.6,0.1687,0.0823,0.8250,0.0167,114.96,0.3595
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3820,5004,0.0765,0.05140,0.5690,0.7083,0.3941,83.40,2.4681,0.5596,6.2632,185.6,0.1687,0.0765,0.7668,0.0150,103.02,0.3347
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4210,5004,0.0711,0.05000,0.5980,0.7083,0.3941,83.40,2.2939,0.5443,5.8211,185.6,0.1687,0.0711,0.7127,0.0134,92.31,0.3083
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4530,5004,0.0662,0.04810,0.6240,0.7083,0.3941,83.40,2.1358,0.5236,5.4199,185.6,0.1687,0.0662,0.6636,0.0120,82.93,0.2880
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4950,5004,0.0599,0.04590,0.6450,0.7083,0.3941,83.40,1.9325,0.4997,4.9041,185.6,0.1687,0.0599,0.6004,0.0104,71.38,0.2597
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5270,5004,0.0537,0.04260,0.6650,0.7083,0.3941,83.40,1.7325,0.4638,4.3965,185.6,0.1687,0.0537,0.5383,0.0088,60.59,0.2375
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5620,5004,0.0474,0.03940,0.6750,0.7083,0.3941,83.40,1.5293,0.4289,3.8807,185.6,0.1687,0.0474,0.4751,0.0073,50.25,0.2130
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6030,5004,0.0393,0.03550,0.6670,0.7083,0.3941,83.40,1.2679,0.3865,3.2176,185.6,0.1687,0.0393,0.3939,0.0055,37.93,0.1785
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6230,5004,0.0353,0.03310,0.6640,0.7083,0.3941,83.40,1.1389,0.3603,2.8901,185.6,0.1687,0.0353,0.3538,0.0047,32.29,0.1629
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6650,5004,0.0264,0.02740,0.6390,0.7083,0.3941,83.40,0.8517,0.2983,2.1614,185.6,0.1687,0.0264,0.2646,0.0030,20.89,0.1273
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7050,5004,0.0190,0.02260,0.5940,0.7083,0.3941,83.40,0.6130,0.2460,1.5556,185.6,0.1687,0.0190,0.1905,0.0019,12.75,0.0942
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1080,5986,0.1073,0.05160,0.2250,0.7083,0.3941,99.77,4.9538,0.9616,12.5711,222.0,0.2018,0.1073,1.0756,0.0249,292.95,0.5539
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1380,5986,0.1054,0.05210,0.2800,0.7083,0.3941,99.77,4.8661,0.9709,12.3485,222.0,0.2018,0.1054,1.0565,0.0242,285.21,0.5341
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1690,5986,0.1034,0.05240,0.3330,0.7083,0.3941,99.77,4.7738,0.9765,12.1142,222.0,0.2018,0.1034,1.0365,0.0235,277.13,0.5160
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2000,5986,0.1012,0.05300,0.3810,0.7083,0.3941,99.77,4.6722,0.9877,11.8565,222.0,0.2018,0.1012,1.0144,0.0228,268.33,0.4939
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2320,5986,0.0985,0.05340,0.4270,0.7083,0.3941,99.77,4.5475,0.9952,11.5401,222.0,0.2018,0.0985,0.9873,0.0219,257.66,0.4708
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2620,5986,0.0954,0.05360,0.4660,0.7083,0.3941,99.77,4.4044,0.9989,11.1770,222.0,0.2018,0.0954,0.9563,0.0208,245.59,0.4470
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2910,5986,0.0919,0.05360,0.4990,0.7083,0.3941,99.77,4.2428,0.9989,10.7669,222.0,0.2018,0.0919,0.9212,0.0197,232.20,0.4227
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3220,5986,0.0885,0.05340,0.5330,0.7083,0.3941,99.77,4.0859,0.9952,10.3686,222.0,0.2018,0.0885,0.8871,0.0186,219.44,0.4009
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3500,5986,0.0850,0.05290,0.5620,0.7083,0.3941,99.77,3.9243,0.9858,9.9585,222.0,0.2018,0.0850,0.8520,0.0175,206.55,0.3809
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3810,5986,0.0809,0.05210,0.5910,0.7083,0.3941,99.77,3.7350,0.9709,9.4782,222.0,0.2018,0.0809,0.8109,0.0163,191.79,0.3591
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4080,5986,0.0771,0.05110,0.6150,0.7083,0.3941,99.77,3.5595,0.9523,9.0329,222.0,0.2018,0.0771,0.7728,0.0151,178.43,0.3407
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4370,5986,0.0729,0.04990,0.6380,0.7083,0.3941,99.77,3.3656,0.9299,8.5409,222.0,0.2018,0.0729,0.7307,0.0139,164.05,0.3208
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4680,5986,0.0675,0.04810,0.6570,0.7083,0.3941,99.77,3.1163,0.8964,7.9082,222.0,0.2018,0.0675,0.6766,0.0124,146.17,0.2965
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4920,5986,0.0636,0.04660,0.6720,0.7083,0.3941,99.77,2.9363,0.8684,7.4513,222.0,0.2018,0.0636,0.6375,0.0113,133.68,0.2799
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5220,5986,0.0579,0.04430,0.6830,0.7083,0.3941,99.77,2.6731,0.8256,6.7835,222.0,0.2018,0.0579,0.5804,0.0099,116.12,0.2557
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5480,5986,0.0532,0.04220,0.6900,0.7083,0.3941,99.77,2.4561,0.7864,6.2329,222.0,0.2018,0.0532,0.5333,0.0087,102.27,0.2364
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5850,5986,0.0459,0.03850,0.6990,0.7083,0.3941,99.77,2.1191,0.7175,5.3776,222.0,0.2018,0.0459,0.4601,0.0070,81.96,0.2077
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4910,6009,0.0637,0.04670,0.6700,0.7083,0.3941,100.15,2.9635,0.8804,7.5205,222.9,0.2026,0.0637,0.6385,0.0114,135.55,0.2799
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5240,6009,0.0580,0.04440,0.6840,0.7083,0.3941,100.15,2.6984,0.8370,6.8475,222.9,0.2026,0.0580,0.5814,0.0099,117.77,0.2558
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5570,6009,0.0519,0.04160,0.6950,0.7083,0.3941,100.15,2.4146,0.7842,6.1274,222.9,0.2026,0.0519,0.5202,0.0084,99.69,0.2311
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5780,6009,0.0478,0.03930,0.7020,0.7083,0.3941,100.15,2.2238,0.7409,5.6433,222.9,0.2026,0.0478,0.4791,0.0074,88.11,0.2162
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6120,6009,0.0411,0.03590,0.7010,0.7083,0.3941,100.15,1.9121,0.6768,4.8523,222.9,0.2026,0.0411,0.4120,0.0059,70.25,0.1887
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6330,6009,0.0361,0.03370,0.6790,0.7083,0.3941,100.15,1.6795,0.6353,4.2620,222.9,0.2026,0.0361,0.3619,0.0049,57.83,0.1655
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6690,6009,0.0284,0.02900,0.6550,0.7083,0.3941,100.15,1.3213,0.5467,3.3529,222.9,0.2026,0.0284,0.2847,0.0034,40.35,0.1342
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6970,6009,0.0224,0.02500,0.6260,0.7083,0.3941,100.15,1.0421,0.4713,2.6446,222.9,0.2026,0.0224,0.2245,0.0024,28.27,0.1090
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7280,6009,0.0153,0.02070,0.5390,0.7083,0.3941,100.15,0.7118,0.3902,1.8063,222.9,0.2026,0.0153,0.1534,0.0013,15.96,0.0743
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7570,6009,0.0093,0.01670,0.4220,0.7083,0.3941,100.15,0.4327,0.3148,1.0980,222.9,0.2026,0.0093,0.0932,0.0006,7.56,0.0437
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7860,6009,0.0034,0.01220,0.2150,0.7083,0.3941,100.15,0.1582,0.2300,0.4014,222.9,0.2026,0.0034,0.0341,0.0001,1.67,0.0132
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0960,6928,0.1090,0.05100,0.2040,0.7083,0.3941,115.47,6.7408,1.4734,17.1058,256.9,0.2336,0.1090,1.0926,0.0254,465.00,0.5738
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1210,6928,0.1076,0.05130,0.2540,0.7083,0.3941,115.47,6.6542,1.4821,16.8861,256.9,0.2336,0.1076,1.0786,0.0250,456.07,0.5595
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1450,6928,0.1060,0.05170,0.2970,0.7083,0.3941,115.47,6.5552,1.4937,16.6350,256.9,0.2336,0.1060,1.0625,0.0244,445.93,0.5428
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1690,6928,0.1045,0.05210,0.3390,0.7083,0.3941,115.47,6.4625,1.5052,16.3996,256.9,0.2336,0.1045,1.0475,0.0239,436.50,0.5273
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.1970,6928,0.1025,0.05250,0.3850,0.7083,0.3941,115.47,6.3388,1.5168,16.0858,256.9,0.2336,0.1025,1.0274,0.0232,424.03,0.5083
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2240,6928,0.1002,0.05270,0.4250,0.7083,0.3941,115.47,6.1966,1.5226,15.7248,256.9,0.2336,0.1002,1.0044,0.0224,409.84,0.4894
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2500,6928,0.0980,0.05300,0.4610,0.7083,0.3941,115.47,6.0605,1.5312,15.3795,256.9,0.2336,0.0980,0.9823,0.0217,396.41,0.4707
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.2760,6928,0.0954,0.05320,0.4940,0.7083,0.3941,115.47,5.8997,1.5370,14.9715,256.9,0.2336,0.0954,0.9563,0.0208,380.74,0.4504
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3010,6928,0.0925,0.05300,0.5260,0.7083,0.3941,115.47,5.7204,1.5312,14.5164,256.9,0.2336,0.0925,0.9272,0.0199,363.52,0.4316
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3260,6928,0.0899,0.05290,0.5540,0.7083,0.3941,115.47,5.5596,1.5283,14.1084,256.9,0.2336,0.0899,0.9011,0.0191,348.30,0.4143
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3520,6928,0.0868,0.05260,0.5810,0.7083,0.3941,115.47,5.3679,1.5197,13.6219,256.9,0.2336,0.0868,0.8701,0.0181,330.44,0.3953
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.3770,6928,0.0833,0.05200,0.6040,0.7083,0.3941,115.47,5.1514,1.5023,13.0726,256.9,0.2336,0.0833,0.8350,0.0170,310.65,0.3760
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4050,6928,0.0793,0.05120,0.6280,0.7083,0.3941,115.47,4.9041,1.4792,12.4449,256.9,0.2336,0.0793,0.7949,0.0158,288.55,0.3547
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4270,6928,0.0762,0.05040,0.6460,0.7083,0.3941,115.47,4.7124,1.4561,11.9584,256.9,0.2336,0.0762,0.7638,0.0149,271.80,0.3394
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4560,6928,0.0716,0.04920,0.6640,0.7083,0.3941,115.47,4.4279,1.4214,11.2365,256.9,0.2336,0.0716,0.7177,0.0135,247.56,0.3167
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4790,6928,0.0674,0.04780,0.6760,0.7083,0.3941,115.47,4.1681,1.3810,10.5774,256.9,0.2336,0.0674,0.6756,0.0124,226.10,0.2977
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5030,6928,0.0637,0.04640,0.6910,0.7083,0.3941,115.47,3.9393,1.3405,9.9967,256.9,0.2336,0.0637,0.6385,0.0114,207.74,0.2818
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4230,6914,0.0765,0.05070,0.6390,0.7083,0.3941,115.23,4.7118,1.4559,11.9570,256.4,0.2331,0.0765,0.7668,0.0150,271.75,0.3394
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4530,6914,0.0721,0.04940,0.6620,0.7083,0.3941,115.23,4.4408,1.4186,11.2693,256.4,0.2331,0.0721,0.7227,0.0137,248.64,0.3187
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.4800,6914,0.0680,0.04810,0.6780,0.7083,0.3941,115.23,4.1883,1.3813,10.6284,256.4,0.2331,0.0680,0.6816,0.0125,227.74,0.2998
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5010,6914,0.0646,0.04700,0.6900,0.7083,0.3941,115.23,3.9789,1.3497,10.0970,256.4,0.2331,0.0646,0.6475,0.0116,210.87,0.2841
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5350,6914,0.0579,0.04430,0.6990,0.7083,0.3941,115.23,3.5662,1.2721,9.0498,256.4,0.2331,0.0579,0.5804,0.0099,178.93,0.2557
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5560,6914,0.0543,0.04270,0.7070,0.7083,0.3941,115.23,3.3445,1.2262,8.4871,256.4,0.2331,0.0543,0.5443,0.0089,162.51,0.2410
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.5780,6914,0.0501,0.04080,0.7100,0.7083,0.3941,115.23,3.0858,1.1716,7.8307,256.4,0.2331,0.0501,0.5022,0.0079,144.02,0.2235
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6110,6914,0.0432,0.03730,0.7070,0.7083,0.3941,115.23,2.6608,1.0711,6.7522,256.4,0.2331,0.0432,0.4330,0.0063,115.32,0.1957
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6350,6914,0.0388,0.03490,0.7040,0.7083,0.3941,115.23,2.3898,1.0022,6.0645,256.4,0.2331,0.0388,0.3889,0.0054,98.16,0.1781
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6640,6914,0.0322,0.03160,0.6770,0.7083,0.3941,115.23,1.9833,0.9074,5.0329,256.4,0.2331,0.0322,0.3228,0.0041,74.21,0.1487
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.6840,6914,0.0276,0.02840,0.6640,0.7083,0.3941,115.23,1.6999,0.8155,4.3139,256.4,0.2331,0.0276,0.2767,0.0032,58.89,0.1313
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7070,6914,0.0229,0.02570,0.6300,0.7083,0.3941,115.23,1.4105,0.7380,3.5793,256.4,0.2331,0.0229,0.2295,0.0025,44.51,0.1096
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7350,6914,0.0160,0.02130,0.5540,0.7083,0.3941,115.23,0.9855,0.6117,2.5008,256.4,0.2331,0.0160,0.1604,0.0014,25.99,0.0773
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7600,6914,0.0106,0.01800,0.4480,0.7083,0.3941,115.23,0.6529,0.5169,1.6568,256.4,0.2331,0.0106,0.1063,0.0008,14.02,0.0493
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.7850,6914,0.0047,0.01440,0.2570,0.7083,0.3941,115.23,0.2895,0.4135,0.7346,256.4,0.2331,0.0047,0.0471,0.0002,4.14,0.0182
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,2489,0.1046,0.05670,0.0000,0.7083,0.3941,41.48,0.8349,0.0760,2.1188,92.3,0.0839,0.1046,1.0485,0.0239,20.27,0.4852
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,2813,0.1052,0.05560,0.0000,0.7083,0.3941,46.88,1.0726,0.1075,2.7218,104.3,0.0948,0.1052,1.0545,0.0241,29.51,0.4990
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,3095,0.1049,0.05490,0.0000,0.7083,0.3941,51.58,1.2947,0.1414,3.2855,114.8,0.1044,0.1049,1.0515,0.0240,39.14,0.5032
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,3386,0.1062,0.05510,0.0000,0.7083,0.3941,56.43,1.5688,0.1858,3.9811,125.6,0.1142,0.1062,1.0645,0.0245,52.21,0.5108
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,3648,0.1074,0.05370,0.0000,0.7083,0.3941,60.80,1.8415,0.2265,4.6732,135.3,0.1230,0.1074,1.0766,0.0249,66.40,0.5330
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,3980,0.1080,0.05220,0.0000,0.7083,0.3941,66.33,2.2042,0.2859,5.5936,147.6,0.1342,0.1080,1.0826,0.0251,86.95,0.5529
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,4259,0.1083,0.05150,0.0000,0.7083,0.3941,70.98,2.5311,0.3457,6.4231,158.0,0.1436,0.1083,1.0856,0.0252,106.99,0.5628
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,4558,0.1074,0.05130,0.0000,0.7083,0.3941,75.97,2.8749,0.4221,7.2955,169.0,0.1537,0.1074,1.0766,0.0249,129.51,0.5579
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,4861,0.1076,0.05050,0.0000,0.7083,0.3941,81.02,3.2759,0.5040,8.3131,180.3,0.1639,0.1076,1.0786,0.0250,157.54,0.5683
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,5139,0.1067,0.05050,0.0000,0.7083,0.3941,85.65,3.6307,0.5955,9.2135,190.6,0.1733,0.1067,1.0695,0.0246,183.81,0.5612
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,5436,0.1081,0.05090,0.0000,0.7083,0.3941,90.60,4.1158,0.7104,10.4445,201.6,0.1833,0.1081,1.0836,0.0251,221.85,0.5678
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,5737,0.1078,0.05040,0.0000,0.7083,0.3941,95.62,4.5715,0.8268,11.6009,212.8,0.1934,0.1078,1.0806,0.0250,259.70,0.5711
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,6031,0.1115,0.05040,0.0000,0.7083,0.3941,100.52,5.2254,0.9606,13.2604,223.7,0.2033,0.1115,1.1177,0.0263,317.37,0.6007
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,6324,0.1087,0.04930,0.0000,0.7083,0.3941,105.40,5.6012,1.0833,14.2140,234.5,0.2132,0.1087,1.0896,0.0253,352.21,0.5911
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.50,6.00,0.7059,0.0000,6605,0.1112,0.04990,0.0000,0.7083,0.3941,110.08,6.2505,1.2493,15.8618,245.0,0.2227,0.1112,1.1147,0.0262,415.20,0.6043
